Name,,,remove_sw,augment,do_split,epochs,exp_id,model_name,n_splits,avg_assigned,avg_f2,avg_precision,avg_recall,fold_1_avg_assigned,fold_1_f2,fold_1_precision,fold_1_recall,fold_2_avg_assigned,fold_2_f2,fold_2_precision,fold_2_recall,fold_3_avg_assigned,fold_3_f2,fold_3_precision,fold_3_recall,fold_4_avg_assigned,fold_4_f2,fold_4_precision,fold_4_recall,fold_5_avg_assigned,fold_5_f2,fold_5_precision,fold_5_recall
KFold_Exp_14_exp_10_incorporated,,,FALSE,FALSE,FALSE,20,14,bert-large-uncased,5,11.43225806,0.909497,0.739882556,0.965379288,12.12903226,0.914634146,0.718085106,0.981818182,11.70967742,0.902439024,0.713498623,0.96641791,10.67741935,0.907158044,0.773413897,0.948148148,11,0.910973085,0.774193548,0.953068592,11.64516129,0.912280702,0.720221607,0.977443609
KFold_Exp_14_exp15_incorporated,,,FALSE,FALSE,FALSE,20,14,bert-base-uncased,5,11.48387097,0.905216647,0.737716069,0.959795777,11.96774194,0.917060013,0.733153639,0.978417266,11.58064516,0.875937287,0.715877437,0.927797834,11.48387097,0.916442049,0.764044944,0.964539007,11.19354839,0.898634076,0.720461095,0.957854406,11.19354839,0.918009811,0.755043228,0.97037037
KFold_Exp_14_exp_11_incorporated,,,FALSE,TRUE,FALSE,20,14,bert-large-uncased,5,11.63225806,0.904684202,0.729484725,0.962622835,11.58064516,0.91002045,0.743732591,0.963898917,11.35483871,0.906862745,0.735795455,0.962825279,11.29032258,0.917015342,0.751428571,0.970479705,11.38709677,0.897255454,0.722379603,0.95505618,12.5483871,0.892267019,0.694087404,0.960854093
KFold_Exp_10,,,FALSE,FALSE,FALSE,20,10,bert-large-uncased,5,11.23157895,0.842061368,0.65311773,0.908023617,11.38157895,0.788713112,0.599421965,0.856317093,11.67105263,0.837288638,0.636414882,0.909017713,10.63815789,0.858952572,0.687693259,0.915980231,11.61184211,0.859996996,0.648725212,0.936222404,10.85526316,0.865355522,0.693333333,0.922580645
KFold_Exp_11,,,FALSE,TRUE,FALSE,20,11,bert-large-uncased,5,10.91973684,0.822678239,0.656783685,0.880214237,11.03289474,0.816464238,0.649373882,0.872596154,12.98684211,0.840075123,0.589159068,0.94017785,10.20394737,0.805694381,0.686009026,0.842438638,10.53947368,0.834383864,0.661048689,0.892917369,9.835526316,0.816773588,0.698327759,0.852941176
KFold_Exp_2,,,FALSE,TRUE,FALSE,20,2,bert-base-uncased,5,11.36447368,0.817203103,0.630615627,0.883530098,12.36842105,0.78253828,0.565425532,0.865635179,12,0.845914742,0.626644737,0.927007299,11.30263158,0.835091951,0.644935972,0.901545972,9.993421053,0.783142003,0.655694536,0.823140496,11.15789474,0.839328537,0.660377358,0.900321543
KFold_Exp_7,,,TRUE,TRUE,TRUE,20,7,bert-base-uncased,5,10.98157895,0.811463085,0.641699606,0.869873924,12.05263158,0.839694656,0.624454148,0.918875502,11.75657895,0.852298081,0.641298265,0.928687196,10.82894737,0.794871795,0.640340219,0.845906902,9.644736842,0.780897064,0.660300136,0.818258664,10.625,0.78955383,0.642105263,0.837641357
KFold_Exp_4,,,TRUE,TRUE,FALSE,20,4,bert-base-uncased,5,11.33157895,0.805050835,0.621515631,0.870190014,12.32894737,0.813439434,0.589114194,0.899022801,11.93421053,0.819745034,0.609702315,0.896999189,11.44736842,0.858623798,0.656896552,0.93002441,10.48684211,0.784892757,0.633626098,0.834710744,10.46052632,0.748553153,0.618238994,0.790192926
KFold_Exp_15_new,,,FALSE,FALSE,FALSE,20,15,bert-base-uncased,5,11.09473684,0.795740761,0.622300148,0.856056559,11.90789474,0.819807635,0.602762431,0.90090834,11.07236842,0.81265975,0.642305407,0.87037037,11.18421053,0.77104942,0.594705882,0.832784185,11.13157895,0.847509113,0.659574468,0.912510221,10.17763158,0.727677885,0.612152553,0.763709677
KFold_Exp_1,,,TRUE,FALSE,FALSE,30,1,bert-base-uncased,5,11.13947368,0.794903818,0.623729527,0.855116467,12.58552632,0.812454212,0.579717721,0.903094463,11.90131579,0.758789497,0.565505804,0.829683698,10.57894737,0.774831392,0.628731343,0.822620016,10.69078947,0.850734725,0.676923077,0.909090909,9.940789474,0.777709265,0.667769689,0.811093248
KFold_Exp_15,,,FALSE,FALSE,FALSE,20,15,bert-base-uncased,5,10.80263158,0.789373597,0.629033615,0.843322066,11.04605263,0.863866319,0.671232877,0.930635838,10.64473684,0.821439417,0.668726823,0.871175523,11.17105263,0.807140677,0.623085984,0.871499176,10.53947368,0.758392362,0.614856429,0.805396566,10.61184211,0.69602921,0.567265964,0.737903226
KFold_Exp_5,,,TRUE,FALSE,TRUE,20,5,bert-base-uncased,5,10.77368421,0.777480507,0.624050424,0.828917809,11.26315789,0.681612319,0.527453271,0.73534202,11.05921053,0.8006956,0.629982153,0.858880779,10.82236842,0.791037952,0.63100304,0.844589097,9.611842105,0.790350738,0.681724846,0.823140496,11.11184211,0.823705926,0.65008881,0.882636656
KFold_Exp_6,,,FALSE,TRUE,TRUE,20,6,bert-base-uncased,5,11.47368421,0.77677017,0.593305001,0.842438598,12.55921053,0.834188535,0.596123625,0.926710098,11.23684211,0.75,0.583138173,0.807785888,11.34210526,0.806475904,0.621229698,0.871440195,11.32236842,0.764365188,0.582800697,0.82892562,10.90789474,0.728821224,0.583232811,0.77733119
KFold_Exp_5_new,,,TRUE,FALSE,TRUE,20,5,bert-base-uncased,5,11.07763158,0.763387569,0.599727715,0.819748955,11.83552632,0.680971539,0.508060033,0.744299674,11.65131579,0.831717142,0.629587804,0.904298459,10.66447368,0.759522717,0.612584824,0.807973963,10.46710526,0.743274763,0.60087995,0.790082645,10.76973684,0.801451686,0.647525962,0.852090032
KFold_Exp_3,,,FALSE,FALSE,TRUE,20,3,bert-base-uncased,5,10.91842105,0.760985733,0.604905112,0.814290712,11.77631579,0.694568785,0.520111732,0.758143322,11.69736842,0.801788376,0.605174353,0.872668289,9.934210526,0.715063803,0.608609272,0.747762408,10.32236842,0.803557497,0.656469089,0.851239669,10.86184211,0.789950204,0.634161114,0.841639871
KFold_Exp_9,,,FALSE,TRUE,FALSE,20,9,roberta-base,5,9.805263158,0.691011946,0.596356482,0.721333278,10.15789474,0.673017348,0.562823834,0.707654723,10.625,0.738506186,0.59876161,0.784266018,9.894736842,0.709501558,0.605718085,0.741253051,7.782894737,0.609330898,0.620456467,0.60661157,10.56578947,0.724703737,0.594022416,0.766881029
KFold_Exp_12,,,FALSE,FALSE,FALSE,20,12,distilbert-base-uncased,5,10.08684211,0.662191577,0.576459921,0.697913651,13.94078947,0.688639954,0.452571968,0.791907514,10.34210526,0.655198777,0.545165394,0.690016103,10.19078947,0.705698673,0.583602324,0.744645799,6.25,0.561451558,0.690526316,0.536385936,9.710526316,0.699968925,0.610433604,0.726612903
KFold_Exp_13,,,FALSE,TRUE,FALSE,20,13,distilbert-base-uncased,5,9.605263158,0.656878908,0.578712736,0.682667257,10.125,0.709192373,0.59454191,0.745114007,9.763157895,0.610972569,0.528301887,0.635847526,10.14473684,0.685196655,0.573929961,0.72009764,7.125,0.585007598,0.639889197,0.572727273,10.86842105,0.694025347,0.556900726,0.739549839
KFold_Exp_8,,,FALSE,FALSE,FALSE,20,8,roberta-base,5,8.110526316,0.576988655,0.596893395,0.583224158,10.95394737,0.644492242,0.503903904,0.692815855,8.506578947,0.626896662,0.607115236,0.632045089,7.605263158,0.644544245,0.670415225,0.638385502,9.486842105,0.599936849,0.52704577,0.621422731,4,0.369073276,0.675986842,0.331451613