Name,model_name,augment,do_split,remove_sw,avg_assigned,avg_f2,avg_precision,avg_recall,fold_1_avg_assigned,fold_1_f2,fold_1_precision,fold_1_recall,fold_2_avg_assigned,fold_2_f2,fold_2_precision,fold_2_recall,fold_3_avg_assigned,fold_3_f2,fold_3_precision,fold_3_recall,fold_4_avg_assigned,fold_4_f2,fold_4_precision,fold_4_recall,fold_5_avg_assigned,fold_5_f2,fold_5_precision,fold_5_recall
Exp_10,bert-large-uncased,FALSE,FALSE,FALSE,11.231578947368423,0.8420613680899759,0.6531177303722244,0.9080236172810844,11.381578947368421,0.7887131122604198,0.599421965,0.856317093,11.671052631578947,0.8372886383862356,0.6364148816234498,0.9090177133655395,10.638157894736842,0.8589525722230805,0.6876932591218305,0.9159802306425041,11.611842105263158,0.8599969956436834,0.6487252124645893,0.9362224039247752,10.855263157894736,0.8653555219364599,0.6933333333333334,0.9225806451612903
Exp_11,bert-large-uncased,TRUE,FALSE,FALSE,10.919736842105262,0.8226782386729466,0.6567836849169906,0.8802142374849324,11.032894736842104,0.8164642375168691,0.6493738819320215,0.8725961538461539,12.986842105263158,0.8400751227968796,0.5891590678824722,0.9401778496362166,10.203947368421053,0.8056943813418144,0.6860090264345583,0.8424386381631037,10.539473684210526,0.8343838638512449,0.6610486891385767,0.8929173693086003,9.835526315789474,0.8167735878579252,0.6983277591973244,0.8529411764705882
Exp_2,bert-base-uncased,TRUE,FALSE,FALSE,11.364473684210525,0.8172031027937228,0.6306156270373937,0.8835300980069057,12.368421052631579,0.7825382803297998,0.5654255319148936,0.8656351791530945,12,0.8459147424511545,0.6266447368421053,0.927007299,11.302631578947368,0.8350919505577329,0.6449359720605355,0.9015459723352319,9.993421052631579,0.7831420034596634,0.6556945358788677,0.8231404958677686,11.157894736842104,0.8393285371702638,0.660377358,0.9003215434083601
Exp_7,bert-base-uncased,TRUE,TRUE,TRUE,10.981578947368423,0.8114630851795631,0.6416996064032416,0.8698739243289788,12.052631578947368,0.8396946564885496,0.6244541484716157,0.9188755020080321,11.756578947368421,0.8522980812137438,0.6412982652490207,0.9286871961102107,10.828947368421053,0.7948717948717948,0.6403402187120292,0.8459069020866774,9.644736842105264,0.7808970635688932,0.660300136,0.8182586644125106,10.625,0.7895538297548348,0.6421052631578947,0.8376413570274637
Exp_4,bert-base-uncased,TRUE,FALSE,TRUE,11.33157894736842,0.8050508352263692,0.6215156305728011,0.8701900140418193,12.328947368421053,0.8134394341290893,0.5891141942369263,0.8990228013029316,11.93421052631579,0.8197450340942781,0.6097023153252481,0.8969991889699919,11.447368421052632,0.8586237980769231,0.656896552,0.9300244100895037,10.486842105263158,0.7848927572272303,0.6336260978670013,0.8347107438016529,10.460526315789474,0.7485531526043253,0.6182389937106918,0.7901929260450161
Exp_15,bert-base-uncased,FALSE,FALSE,FALSE,11.094736842105263,0.7957407607305521,0.6223001483435174,0.8560565586574057,11.907894736842104,0.8198076345055606,0.6027624309392265,0.9009083402146986,11.072368421052632,0.8126597504134716,0.6423054070112894,0.8703703703703703,11.18421052631579,0.7710494203782794,0.5947058823529412,0.8327841845140033,11.131578947368421,0.8475091130012151,0.6595744680851063,0.9125102207686018,10.177631578947368,0.7276778853542339,0.612152553,0.7637096774193548
Exp_1,bert-base-uncased,FALSE,FALSE,TRUE,11.139473684210527,0.7949038182947125,0.6237295268646884,0.855116467,12.585526315789474,0.8124542124542125,0.5797177208572922,0.9030944625407166,11.901315789473685,0.7587894971072541,0.5655058043117744,0.829683698,10.578947368421053,0.7748313917841815,0.628731343,0.822620016,10.69078947368421,0.8507347254447022,0.676923077,0.9090909090909091,9.940789474,0.7777092646832126,0.6677696889477167,0.8110932475884244
Exp_6,bert-base-uncased,TRUE,TRUE,FALSE,11.473684210526315,0.7767701702501826,0.5933050008993453,0.8424385981247532,12.55921052631579,0.8341885354053657,0.5961236249345206,0.9267100977198697,11.236842105263158,0.75,0.5831381733021077,0.8077858880778589,11.342105263157896,0.8064759036144579,0.621229698,0.871440195,11.322368421052632,0.764365188,0.5828006972690296,0.8289256198347107,10.907894736842104,0.7288212239975882,0.583232811,0.7773311897106109
Exp_5,bert-base-uncased,FALSE,TRUE,TRUE,11.07763157894737,0.7633875693250258,0.5997277145756622,0.8197489545327443,11.835526315789474,0.6809715392638951,0.5080600333518621,0.744299674,11.651315789473685,0.8317171415783977,0.629587804,0.9042984590429846,10.664473684210526,0.7595227168425883,0.6125848241826033,0.8079739625711961,10.467105263157896,0.7432747628673613,0.60087995,0.7900826446280992,10.769736842105264,0.8014516860728867,0.6475259621258399,0.8520900321543409
Exp_3,bert-base-uncased,FALSE,TRUE,FALSE,10.918421052631578,0.760985733,0.6049051119280275,0.8142907120937084,11.776315789473685,0.6945687854371829,0.5201117318435754,0.758143322,11.697368421052632,0.8017883755588674,0.6051743532058492,0.8726682887266829,9.934210526,0.7150638032990975,0.6086092715231788,0.7477624084621644,10.322368421052632,0.8035574972694648,0.6564690885914596,0.8512396694214877,10.861842105263158,0.7899502037120869,0.6341611144760751,0.8416398713826366
Exp_9,roberta-base,TRUE,FALSE,FALSE,9.805263157894737,0.6910119455128642,0.5963564823521864,0.7213332782835449,10.157894736842104,0.6730173482032218,0.5628238341968912,0.7076547231270358,10.625,0.7385061860394073,0.5987616099071208,0.7842660178426601,9.894736842105264,0.7095015576323987,0.605718085,0.741253051,7.782894736842105,0.6093308982234766,0.6204564666103127,0.6066115702479339,10.56578947368421,0.7247037374658158,0.5940224159402242,0.7668810289389068
Exp_12,distilbert-base-uncased,FALSE,FALSE,FALSE,10.086842105263157,0.6621915772393461,0.5764599213033992,0.6979136511940383,13.94078947368421,0.6886399540427977,0.45257196790939125,0.791907514,10.342105263157896,0.6551987767584098,0.5451653944020356,0.6900161030595813,10.19078947368421,0.7056986729117877,0.5836023240800516,0.7446457990115322,6.25,0.5614515576857241,0.6905263157894737,0.5363859362224039,9.710526315789474,0.6999689247980112,0.6104336043360433,0.7266129032258064
Exp_13,distilbert-base-uncased,TRUE,FALSE,FALSE,9.605263157894736,0.6568789083358393,0.5787127362562966,0.6826672570373433,10.125,0.7091923732754611,0.59454191,0.745114007,9.763157894736842,0.6109725685785536,0.5283018867924528,0.6358475263584753,10.144736842105264,0.6851966553112419,0.5739299610894941,0.7200976403580146,7.125,0.5850075975012663,0.6398891966759003,0.5727272727272728,10.868421052631579,0.6940253470126735,0.5569007263922519,0.7395498392282959
Exp_8,roberta-base,FALSE,FALSE,FALSE,8.110526315789475,0.5769886545690661,0.5968933953144832,0.5832241579192318,10.953947368421053,0.644492242,0.5039039039039039,0.6928158546655656,8.506578947368421,0.6268966618750998,0.6071152358855375,0.6320450885668277,7.605263157894737,0.644544245,0.6704152249134948,0.6383855024711697,9.486842105263158,0.5999368487527629,0.5270457697642164,0.6214227309893704,4,0.36907327586206895,0.6759868421052632,0.33145161290322583